;time;customer;location
0;07:00:00;Nicole Reynolds;entrance
1;07:00:00;Katie Bradley;entrance
2;07:00:00;Wendy Young;entrance
3;07:00:00;Jane Hall DDS;entrance
4;07:00:00;Wendy Cabrera;entrance
5;07:01:00;Nicole Reynolds;drinks
6;07:01:00;Katie Bradley;spices
7;07:01:00;Wendy Young;dairy
8;07:01:00;Jane Hall DDS;drinks
9;07:01:00;Wendy Cabrera;spices
10;07:01:00;Emily Espinoza DDS;entrance
11;07:01:00;Brandon Holmes;entrance
12;07:01:00;Laura Frank;entrance
13;07:01:00;Kevin Vargas;entrance
14;07:01:00;Dylan Carpenter;entrance
15;07:01:00;Eric Olson;entrance
16;07:01:00;Chelsea Wells;entrance
17;07:02:00;Nicole Reynolds;dairy
18;07:02:00;Katie Bradley;drinks
19;07:02:00;Wendy Young;fruit
20;07:02:00;Jane Hall DDS;drinks
21;07:02:00;Wendy Cabrera;fruit
22;07:02:00;Emily Espinoza DDS;dairy
23;07:02:00;Brandon Holmes;fruit
24;07:02:00;Laura Frank;dairy
25;07:02:00;Kevin Vargas;drinks
26;07:02:00;Dylan Carpenter;drinks
27;07:02:00;Eric Olson;drinks
28;07:02:00;Chelsea Wells;dairy
29;07:02:00;Tammie Lucero;entrance
30;07:02:00;Lisa Ramirez;entrance
31;07:02:00;Steven Gross;entrance
32;07:02:00;April Savage;entrance
33;07:03:00;Nicole Reynolds;dairy
34;07:03:00;Katie Bradley;drinks
35;07:03:00;Wendy Young;checkout and leave
36;07:03:00;Jane Hall DDS;fruit
37;07:03:00;Wendy Cabrera;fruit
38;07:03:00;Emily Espinoza DDS;spices
39;07:03:00;Brandon Holmes;drinks
40;07:03:00;Laura Frank;drinks
41;07:03:00;Kevin Vargas;dairy
42;07:03:00;Dylan Carpenter;dairy
43;07:03:00;Eric Olson;drinks
44;07:03:00;Chelsea Wells;dairy
45;07:03:00;Tammie Lucero;fruit
46;07:03:00;Lisa Ramirez;drinks
47;07:03:00;Steven Gross;drinks
48;07:03:00;April Savage;spices
49;07:03:00;Craig Malone;entrance
50;07:03:00;Mark Jordan;entrance
51;07:03:00;Stephen Rodriguez;entrance
52;07:03:00;Larry Hall;entrance
53;07:03:00;Nathan Taylor;entrance
54;07:03:00;Charles Porter;entrance
55;07:03:00;Mr. Cory Maynard;entrance
56;07:03:00;Ariel Freeman;entrance
57;07:04:00;Nicole Reynolds;checkout and leave
58;07:04:00;Katie Bradley;drinks
59;07:04:00;Jane Hall DDS;dairy
60;07:04:00;Wendy Cabrera;dairy
61;07:04:00;Emily Espinoza DDS;spices
62;07:04:00;Brandon Holmes;checkout and leave
63;07:04:00;Laura Frank;dairy
64;07:04:00;Kevin Vargas;checkout and leave
65;07:04:00;Dylan Carpenter;checkout and leave
66;07:04:00;Eric Olson;fruit
67;07:04:00;Chelsea Wells;spices
68;07:04:00;Tammie Lucero;spices
69;07:04:00;Lisa Ramirez;drinks
70;07:04:00;Steven Gross;checkout and leave
71;07:04:00;April Savage;checkout and leave
72;07:04:00;Craig Malone;drinks
73;07:04:00;Mark Jordan;spices
74;07:04:00;Stephen Rodriguez;dairy
75;07:04:00;Larry Hall;spices
76;07:04:00;Nathan Taylor;drinks
77;07:04:00;Charles Porter;fruit
78;07:04:00;Mr. Cory Maynard;dairy
79;07:04:00;Ariel Freeman;drinks
80;07:04:00;Kyle Morrow;entrance
81;07:04:00;Amy Martin;entrance
82;07:04:00;Andrew Jones;entrance
83;07:04:00;Michelle Sanchez;entrance
84;07:04:00;Amanda Garcia;entrance
85;07:04:00;Allison Solis;entrance
86;07:05:00;Katie Bradley;drinks
87;07:05:00;Jane Hall DDS;dairy
88;07:05:00;Wendy Cabrera;dairy
