;time;customer;location
0;07:00:00;Scott Bean;entrance
1;07:00:00;Keith Lopez;entrance
2;07:00:00;Thomas Burke;entrance
3;07:00:00;Juan Parrish;entrance
4;07:00:00;Wendy Bentley;entrance
5;07:01:00;Scott Bean;fruit
6;07:01:00;Keith Lopez;fruit
7;07:01:00;Thomas Burke;fruit
8;07:01:00;Juan Parrish;dairy
9;07:01:00;Wendy Bentley;drinks
10;07:01:00;Christopher Allen;entrance
11;07:01:00;Heather Torres;entrance
12;07:01:00;John Mitchell;entrance
13;07:01:00;Mark Turner PhD;entrance
14;07:01:00;Karen Brooks;entrance
15;07:01:00;Kari Price;entrance
16;07:01:00;Regina Black;entrance
17;07:02:00;Scott Bean;drinks
18;07:02:00;Keith Lopez;fruit
19;07:02:00;Thomas Burke;fruit
20;07:02:00;Juan Parrish;dairy
21;07:02:00;Wendy Bentley;drinks
22;07:02:00;Christopher Allen;drinks
23;07:02:00;Heather Torres;drinks
24;07:02:00;John Mitchell;drinks
25;07:02:00;Mark Turner PhD;spices
26;07:02:00;Karen Brooks;fruit
27;07:02:00;Kari Price;dairy
28;07:02:00;Regina Black;fruit
29;07:02:00;Jennifer Potts;entrance
30;07:02:00;Colleen Terry;entrance
31;07:02:00;Nicholas Klein;entrance
32;07:02:00;Michelle Oneal;entrance
33;07:03:00;Scott Bean;dairy
34;07:03:00;Keith Lopez;fruit
35;07:03:00;Thomas Burke;spices
36;07:03:00;Juan Parrish;fruit
37;07:03:00;Wendy Bentley;dairy
38;07:03:00;Christopher Allen;dairy
39;07:03:00;Heather Torres;fruit
40;07:03:00;John Mitchell;spices
41;07:03:00;Mark Turner PhD;fruit
42;07:03:00;Karen Brooks;fruit
43;07:03:00;Kari Price;checkout and leave
44;07:03:00;Regina Black;drinks
45;07:03:00;Jennifer Potts;fruit
46;07:03:00;Colleen Terry;spices
47;07:03:00;Nicholas Klein;dairy
48;07:03:00;Michelle Oneal;fruit
49;07:03:00;Jesse Jones;entrance
50;07:03:00;Timothy Obrien;entrance
51;07:03:00;Dr. James Tate IV;entrance
52;07:03:00;Nicole Mullins;entrance
53;07:03:00;Lisa Johnson;entrance
54;07:03:00;David Macdonald;entrance
55;07:03:00;Bryan Scott;entrance
56;07:03:00;Shane Brown;entrance
57;07:04:00;Scott Bean;checkout and leave
58;07:04:00;Keith Lopez;fruit
59;07:04:00;Thomas Burke;drinks
60;07:04:00;Juan Parrish;dairy
61;07:04:00;Wendy Bentley;dairy
62;07:04:00;Christopher Allen;drinks
63;07:04:00;Heather Torres;spices
64;07:04:00;John Mitchell;spices
65;07:04:00;Mark Turner PhD;fruit
66;07:04:00;Karen Brooks;dairy
67;07:04:00;Regina Black;dairy
68;07:04:00;Jennifer Potts;checkout and leave
69;07:04:00;Colleen Terry;fruit
70;07:04:00;Nicholas Klein;checkout and leave
