;time;customer;location
0;07:00:00;Dale Garrett;entrance
1;07:00:00;Brittany Grant;entrance
2;07:00:00;Daniel Williams;entrance
3;07:00:00;Heather Brown;entrance
4;07:00:00;Barbara Smith;entrance
5;07:01:00;Dale Garrett;fruit
6;07:01:00;Brittany Grant;fruit
7;07:01:00;Daniel Williams;spices
8;07:01:00;Heather Brown;drinks
9;07:01:00;Barbara Smith;dairy
10;07:01:00;Steven Marks;entrance
11;07:01:00;Linda Jarvis;entrance
12;07:01:00;Shawn Coleman;entrance
13;07:01:00;Tyler Pena;entrance
14;07:01:00;Nicole Mccarty;entrance
15;07:01:00;Mike Gallagher;entrance
16;07:01:00;Aaron Garcia;entrance
17;07:02:00;Dale Garrett;drinks
18;07:02:00;Brittany Grant;checkout and leave
19;07:02:00;Daniel Williams;dairy
20;07:02:00;Heather Brown;spices
21;07:02:00;Barbara Smith;fruit
22;07:02:00;Steven Marks;spices
23;07:02:00;Linda Jarvis;dairy
24;07:02:00;Shawn Coleman;drinks
25;07:02:00;Tyler Pena;fruit
26;07:02:00;Nicole Mccarty;dairy
27;07:02:00;Mike Gallagher;drinks
28;07:02:00;Aaron Garcia;drinks
29;07:02:00;Kimberly Nunez;entrance
30;07:02:00;Adam Moss;entrance
31;07:02:00;Gina Johnson;entrance
32;07:02:00;Cody Wilson;entrance
33;07:03:00;Dale Garrett;fruit
34;07:03:00;Daniel Williams;drinks
35;07:03:00;Heather Brown;dairy
36;07:03:00;Barbara Smith;fruit
37;07:03:00;Steven Marks;fruit
38;07:03:00;Linda Jarvis;dairy
39;07:03:00;Shawn Coleman;dairy
40;07:03:00;Tyler Pena;spices
41;07:03:00;Nicole Mccarty;drinks
42;07:03:00;Mike Gallagher;drinks
43;07:03:00;Aaron Garcia;dairy
44;07:03:00;Kimberly Nunez;spices
45;07:03:00;Adam Moss;dairy
46;07:03:00;Gina Johnson;fruit
47;07:03:00;Cody Wilson;spices
48;07:03:00;Jacob Hill;entrance
49;07:03:00;Michelle Mckinney;entrance
50;07:03:00;Lee Brandt;entrance
51;07:03:00;Maria Oconnell;entrance
52;07:03:00;Adam Hansen;entrance
53;07:03:00;Melissa Rodriguez;entrance
54;07:03:00;Jamie Williamson;entrance
55;07:03:00;Daisy Anderson;entrance
56;07:04:00;Dale Garrett;checkout and leave
57;07:04:00;Daniel Williams;dairy
58;07:04:00;Heather Brown;drinks
59;07:04:00;Barbara Smith;drinks
60;07:04:00;Steven Marks;fruit
61;07:04:00;Linda Jarvis;dairy
62;07:04:00;Shawn Coleman;dairy
63;07:04:00;Tyler Pena;checkout and leave
64;07:04:00;Nicole Mccarty;spices
65;07:04:00;Mike Gallagher;dairy
66;07:04:00;Aaron Garcia;drinks
