;time;customer;location
0;07:00:00;Jennifer Garcia;entrance
1;07:00:00;Dorothy Holt;entrance
2;07:00:00;Teresa White;entrance
3;07:00:00;Michael Goodman Jr.;entrance
4;07:00:00;Cheryl Schmidt;entrance
5;07:01:00;Jennifer Garcia;drinks
6;07:01:00;Dorothy Holt;drinks
7;07:01:00;Teresa White;dairy
8;07:01:00;Michael Goodman Jr.;drinks
9;07:01:00;Cheryl Schmidt;fruit
10;07:01:00;Scott Roberts;entrance
11;07:01:00;Laurie Duncan;entrance
12;07:01:00;Sydney Bowman;entrance
13;07:01:00;Louis Austin;entrance
14;07:01:00;Joshua Sullivan;entrance
15;07:01:00;Sabrina Holloway;entrance
16;07:01:00;Katherine Williamson;entrance
17;07:02:00;Jennifer Garcia;drinks
18;07:02:00;Dorothy Holt;drinks
19;07:02:00;Teresa White;spices
20;07:02:00;Michael Goodman Jr.;dairy
21;07:02:00;Cheryl Schmidt;drinks
22;07:02:00;Scott Roberts;fruit
23;07:02:00;Laurie Duncan;dairy
24;07:02:00;Sydney Bowman;fruit
25;07:02:00;Louis Austin;spices
26;07:02:00;Joshua Sullivan;fruit
27;07:02:00;Sabrina Holloway;spices
28;07:02:00;Katherine Williamson;dairy
29;07:02:00;Luis Garcia;entrance
30;07:02:00;Michael Nguyen;entrance
31;07:02:00;Kayla Hamilton;entrance
32;07:02:00;Sonya Nunez;entrance
33;07:03:00;Jennifer Garcia;dairy
34;07:03:00;Dorothy Holt;dairy
35;07:03:00;Teresa White;fruit
36;07:03:00;Michael Goodman Jr.;drinks
37;07:03:00;Cheryl Schmidt;checkout and leave
38;07:03:00;Scott Roberts;drinks
39;07:03:00;Laurie Duncan;fruit
40;07:03:00;Sydney Bowman;checkout and leave
41;07:03:00;Louis Austin;spices
42;07:03:00;Joshua Sullivan;fruit
43;07:03:00;Sabrina Holloway;spices
44;07:03:00;Katherine Williamson;dairy
45;07:03:00;Luis Garcia;spices
46;07:03:00;Michael Nguyen;spices
47;07:03:00;Kayla Hamilton;spices
48;07:03:00;Sonya Nunez;dairy
49;07:03:00;Nancy Roman;entrance
50;07:03:00;Mr. Andrew Pierce;entrance
51;07:03:00;Betty Brown;entrance
52;07:03:00;Selena Chavez;entrance
53;07:03:00;Caitlin Humphrey;entrance
54;07:03:00;Paula Mclean;entrance
55;07:03:00;Tara Foley;entrance
56;07:03:00;Erik Manning;entrance
57;07:04:00;Jennifer Garcia;checkout and leave
58;07:04:00;Dorothy Holt;fruit
59;07:04:00;Teresa White;spices
60;07:04:00;Michael Goodman Jr.;dairy
61;07:04:00;Scott Roberts;drinks
62;07:04:00;Laurie Duncan;dairy
63;07:04:00;Louis Austin;fruit
64;07:04:00;Joshua Sullivan;drinks
65;07:04:00;Sabrina Holloway;checkout and leave
66;07:04:00;Katherine Williamson;dairy
67;07:04:00;Luis Garcia;dairy
68;07:04:00;Michael Nguyen;spices
69;07:04:00;Kayla Hamilton;spices
70;07:04:00;Sonya Nunez;fruit
71;07:04:00;Nancy Roman;spices
72;07:04:00;Mr. Andrew Pierce;drinks
73;07:04:00;Betty Brown;drinks
74;07:04:00;Selena Chavez;spices
75;07:04:00;Caitlin Humphrey;dairy
76;07:04:00;Paula Mclean;fruit
77;07:04:00;Tara Foley;fruit
78;07:04:00;Erik Manning;fruit
79;07:04:00;Kenneth Harris;entrance
80;07:04:00;Mrs. Heather Mccormick;entrance
81;07:04:00;Bethany Palmer;entrance
82;07:04:00;Michele Barnes;entrance
83;07:04:00;Chad Richmond;entrance
84;07:04:00;Robert Haynes;entrance
85;07:05:00;Dorothy Holt;dairy
86;07:05:00;Teresa White;fruit
87;07:05:00;Michael Goodman Jr.;drinks
88;07:05:00;Scott Roberts;drinks
89;07:05:00;Laurie Duncan;drinks
90;07:05:00;Louis Austin;spices
91;07:05:00;Joshua Sullivan;drinks
92;07:05:00;Katherine Williamson;drinks
93;07:05:00;Luis Garcia;fruit
94;07:05:00;Michael Nguyen;checkout and leave
95;07:05:00;Kayla Hamilton;drinks
96;07:05:00;Sonya Nunez;checkout and leave
97;07:05:00;Nancy Roman;dairy
98;07:05:00;Mr. Andrew Pierce;spices
99;07:05:00;Betty Brown;fruit
100;07:05:00;Selena Chavez;dairy
101;07:05:00;Caitlin Humphrey;dairy
102;07:05:00;Paula Mclean;dairy
103;07:05:00;Tara Foley;dairy
104;07:05:00;Erik Manning;drinks
105;07:05:00;Kenneth Harris;dairy
106;07:05:00;Mrs. Heather Mccormick;dairy
107;07:05:00;Bethany Palmer;spices
108;07:05:00;Michele Barnes;fruit
109;07:05:00;Chad Richmond;drinks
110;07:05:00;Robert Haynes;drinks
111;07:06:00;Dorothy Holt;drinks
112;07:06:00;Teresa White;checkout and leave
113;07:06:00;Michael Goodman Jr.;spices
114;07:06:00;Scott Roberts;fruit
115;07:06:00;Laurie Duncan;spices
116;07:06:00;Louis Austin;fruit
117;07:06:00;Joshua Sullivan;fruit
118;07:06:00;Katherine Williamson;checkout and leave
119;07:06:00;Luis Garcia;dairy
120;07:06:00;Kayla Hamilton;spices
121;07:06:00;Nancy Roman;spices
122;07:06:00;Mr. Andrew Pierce;dairy
123;07:06:00;Betty Brown;dairy
124;07:06:00;Selena Chavez;dairy
125;07:06:00;Caitlin Humphrey;fruit
126;07:06:00;Paula Mclean;fruit
127;07:06:00;Tara Foley;dairy
128;07:06:00;Erik Manning;fruit
129;07:06:00;Kenneth Harris;spices
130;07:06:00;Mrs. Heather Mccormick;spices
131;07:06:00;Bethany Palmer;drinks
132;07:06:00;Michele Barnes;fruit
133;07:06:00;Chad Richmond;fruit
134;07:06:00;Robert Haynes;drinks
135;07:06:00;William Cervantes;entrance
136;07:06:00;Louis Austin;entrance
137;07:06:00;Aaron Johnson;entrance
138;07:06:00;Donald Saunders;entrance
139;07:06:00;Valerie Pearson;entrance
140;07:06:00;Craig Walters;entrance
141;07:06:00;Charles Carson;entrance
142;07:06:00;Latoya Martin;entrance
143;07:07:00;Dorothy Holt;drinks
144;07:07:00;Michael Goodman Jr.;drinks
145;07:07:00;Scott Roberts;drinks
146;07:07:00;Laurie Duncan;dairy
147;07:07:00;Louis Austin;checkout and leave
148;07:07:00;Joshua Sullivan;fruit
149;07:07:00;Luis Garcia;fruit
150;07:07:00;Kayla Hamilton;dairy
151;07:07:00;Nancy Roman;checkout and leave
152;07:07:00;Mr. Andrew Pierce;spices
153;07:07:00;Betty Brown;dairy
154;07:07:00;Selena Chavez;dairy
155;07:07:00;Caitlin Humphrey;drinks
156;07:07:00;Paula Mclean;dairy
157;07:07:00;Tara Foley;fruit
158;07:07:00;Erik Manning;fruit
159;07:07:00;Kenneth Harris;drinks
160;07:07:00;Mrs. Heather Mccormick;checkout and leave
161;07:07:00;Bethany Palmer;dairy
162;07:07:00;Michele Barnes;fruit
163;07:07:00;Chad Richmond;drinks
164;07:07:00;Robert Haynes;spices
165;07:07:00;William Cervantes;spices
166;07:07:00;Louis Austin;fruit
167;07:07:00;Aaron Johnson;drinks
168;07:07:00;Donald Saunders;spices
169;07:07:00;Valerie Pearson;fruit
170;07:07:00;Craig Walters;dairy
171;07:07:00;Charles Carson;fruit
172;07:07:00;Latoya Martin;spices
173;07:07:00;Amber Gibson;entrance
174;07:07:00;Gabriela Schwartz;entrance
175;07:07:00;Elizabeth Ross;entrance
176;07:07:00;Ricardo Robinson;entrance
177;07:08:00;Dorothy Holt;spices
178;07:08:00;Michael Goodman Jr.;drinks
179;07:08:00;Scott Roberts;drinks
180;07:08:00;Laurie Duncan;drinks
181;07:08:00;Joshua Sullivan;dairy
182;07:08:00;Luis Garcia;fruit
183;07:08:00;Kayla Hamilton;drinks
184;07:08:00;Mr. Andrew Pierce;dairy
185;07:08:00;Betty Brown;fruit
186;07:08:00;Selena Chavez;fruit
187;07:08:00;Caitlin Humphrey;checkout and leave
188;07:08:00;Paula Mclean;drinks
189;07:08:00;Tara Foley;fruit
190;07:08:00;Erik Manning;dairy
191;07:08:00;Kenneth Harris;fruit
192;07:08:00;Bethany Palmer;dairy
193;07:08:00;Michele Barnes;drinks
194;07:08:00;Chad Richmond;dairy
195;07:08:00;Robert Haynes;dairy
196;07:08:00;William Cervantes;drinks
197;07:08:00;Louis Austin;dairy
198;07:08:00;Aaron Johnson;checkout and leave
199;07:08:00;Donald Saunders;checkout and leave
200;07:08:00;Valerie Pearson;dairy
201;07:08:00;Craig Walters;spices
202;07:08:00;Charles Carson;drinks
203;07:08:00;Latoya Martin;drinks
204;07:08:00;Amber Gibson;fruit
205;07:08:00;Gabriela Schwartz;fruit
206;07:08:00;Elizabeth Ross;fruit
207;07:08:00;Ricardo Robinson;drinks
208;07:08:00;Aaron Garcia;entrance
209;07:08:00;Jesse Porter;entrance
210;07:08:00;Anthony Rodriguez;entrance
211;07:08:00;Jimmy Ryan;entrance
212;07:09:00;Dorothy Holt;dairy
213;07:09:00;Michael Goodman Jr.;fruit
214;07:09:00;Scott Roberts;checkout and leave
215;07:09:00;Laurie Duncan;drinks
216;07:09:00;Joshua Sullivan;spices
217;07:09:00;Luis Garcia;dairy
218;07:09:00;Kayla Hamilton;checkout and leave
219;07:09:00;Mr. Andrew Pierce;spices
220;07:09:00;Betty Brown;spices
221;07:09:00;Selena Chavez;drinks
222;07:09:00;Paula Mclean;drinks
223;07:09:00;Tara Foley;fruit
224;07:09:00;Erik Manning;fruit
225;07:09:00;Kenneth Harris;dairy
226;07:09:00;Bethany Palmer;dairy
227;07:09:00;Michele Barnes;drinks
228;07:09:00;Chad Richmond;dairy
229;07:09:00;Robert Haynes;checkout and leave
230;07:09:00;William Cervantes;dairy
231;07:09:00;Louis Austin;fruit
232;07:09:00;Donald Saunders;checkout and leave
233;07:09:00;Valerie Pearson;dairy
234;07:09:00;Craig Walters;dairy
235;07:09:00;Charles Carson;drinks
236;07:09:00;Latoya Martin;checkout and leave
237;07:09:00;Amber Gibson;drinks
238;07:09:00;Gabriela Schwartz;spices
239;07:09:00;Elizabeth Ross;dairy
240;07:09:00;Ricardo Robinson;drinks
241;07:09:00;Aaron Garcia;dairy
242;07:09:00;Jesse Porter;drinks
243;07:09:00;Anthony Rodriguez;fruit
244;07:09:00;Jimmy Ryan;fruit
245;07:09:00;James Garcia;entrance
246;07:09:00;Katherine Turner;entrance
247;07:10:00;Dorothy Holt;drinks
248;07:10:00;Michael Goodman Jr.;dairy
249;07:10:00;Laurie Duncan;checkout and leave
250;07:10:00;Joshua Sullivan;fruit
251;07:10:00;Luis Garcia;checkout and leave
252;07:10:00;Mr. Andrew Pierce;checkout and leave
253;07:10:00;Betty Brown;checkout and leave
254;07:10:00;Selena Chavez;drinks
255;07:10:00;Paula Mclean;drinks
256;07:10:00;Tara Foley;fruit
257;07:10:00;Erik Manning;dairy
258;07:10:00;Kenneth Harris;dairy
259;07:10:00;Bethany Palmer;dairy
260;07:10:00;Michele Barnes;dairy
261;07:10:00;Chad Richmond;dairy
262;07:10:00;William Cervantes;checkout and leave
263;07:10:00;Louis Austin;checkout and leave
264;07:10:00;Valerie Pearson;drinks
265;07:10:00;Craig Walters;dairy
266;07:10:00;Charles Carson;dairy
267;07:10:00;Amber Gibson;dairy
268;07:10:00;Gabriela Schwartz;spices
269;07:10:00;Elizabeth Ross;dairy
270;07:10:00;Ricardo Robinson;dairy
271;07:10:00;Aaron Garcia;dairy
272;07:10:00;Jesse Porter;fruit
273;07:10:00;Anthony Rodriguez;drinks
274;07:10:00;Jimmy Ryan;fruit
275;07:10:00;James Garcia;spices
276;07:10:00;Katherine Turner;fruit
277;07:10:00;James Simpson;entrance
278;07:10:00;Jacob Gonzalez;entrance
279;07:10:00;Mark Moran;entrance
280;07:11:00;Dorothy Holt;dairy
281;07:11:00;Michael Goodman Jr.;drinks
282;07:11:00;Joshua Sullivan;fruit
283;07:11:00;Mr. Andrew Pierce;checkout and leave
284;07:11:00;Selena Chavez;checkout and leave
285;07:11:00;Paula Mclean;drinks
286;07:11:00;Tara Foley;fruit
287;07:11:00;Erik Manning;dairy
288;07:11:00;Kenneth Harris;drinks
289;07:11:00;Bethany Palmer;dairy
290;07:11:00;Michele Barnes;checkout and leave
291;07:11:00;Chad Richmond;dairy
292;07:11:00;Louis Austin;checkout and leave
293;07:11:00;Valerie Pearson;dairy
294;07:11:00;Craig Walters;dairy
295;07:11:00;Charles Carson;spices
296;07:11:00;Amber Gibson;dairy
297;07:11:00;Gabriela Schwartz;checkout and leave
298;07:11:00;Elizabeth Ross;checkout and leave
299;07:11:00;Ricardo Robinson;spices
300;07:11:00;Aaron Garcia;fruit
301;07:11:00;Jesse Porter;drinks
302;07:11:00;Anthony Rodriguez;checkout and leave
303;07:11:00;Jimmy Ryan;dairy
304;07:11:00;James Garcia;dairy
305;07:11:00;Katherine Turner;dairy
306;07:11:00;James Simpson;drinks
307;07:11:00;Jacob Gonzalez;dairy
308;07:11:00;Mark Moran;dairy
309;07:11:00;Sarah Rice;entrance
310;07:11:00;Michelle Arnold;entrance
311;07:11:00;Anita Smith;entrance
312;07:11:00;Sharon Murphy;entrance
313;07:11:00;Jason Nguyen;entrance
314;07:11:00;Justin Taylor;entrance
315;07:11:00;John Collins;entrance
316;07:12:00;Dorothy Holt;fruit
317;07:12:00;Michael Goodman Jr.;checkout and leave
318;07:12:00;Joshua Sullivan;checkout and leave
319;07:12:00;Selena Chavez;checkout and leave
320;07:12:00;Paula Mclean;dairy
321;07:12:00;Tara Foley;fruit
322;07:12:00;Erik Manning;dairy
323;07:12:00;Kenneth Harris;checkout and leave
324;07:12:00;Bethany Palmer;drinks
325;07:12:00;Chad Richmond;fruit
326;07:12:00;Valerie Pearson;fruit
327;07:12:00;Craig Walters;checkout and leave
328;07:12:00;Charles Carson;dairy
329;07:12:00;Amber Gibson;fruit
330;07:12:00;Elizabeth Ross;checkout and leave
331;07:12:00;Ricardo Robinson;drinks
332;07:12:00;Aaron Garcia;checkout and leave
333;07:12:00;Jesse Porter;fruit
334;07:12:00;Jimmy Ryan;fruit
335;07:12:00;James Garcia;dairy
336;07:12:00;Katherine Turner;drinks
337;07:12:00;James Simpson;spices
338;07:12:00;Jacob Gonzalez;checkout and leave
339;07:12:00;Mark Moran;checkout and leave
340;07:12:00;Sarah Rice;drinks
341;07:12:00;Michelle Arnold;fruit
342;07:12:00;Anita Smith;dairy
343;07:12:00;Sharon Murphy;fruit
344;07:12:00;Jason Nguyen;spices
345;07:12:00;Justin Taylor;fruit
346;07:12:00;John Collins;fruit
347;07:12:00;Barbara Walker;entrance
348;07:12:00;Kristine Gonzales;entrance
349;07:12:00;Jose Dickerson;entrance
350;07:12:00;Brandon Carter;entrance
351;07:12:00;Heather Strickland;entrance
352;07:12:00;Stephen Johnston;entrance
353;07:12:00;Kelly Smith;entrance
354;07:12:00;Crystal Wright;entrance
355;07:12:00;Aaron Griffith;entrance
356;07:13:00;Dorothy Holt;drinks
357;07:13:00;Joshua Sullivan;checkout and leave
358;07:13:00;Paula Mclean;fruit
359;07:13:00;Tara Foley;fruit
360;07:13:00;Erik Manning;fruit
361;07:13:00;Bethany Palmer;drinks
362;07:13:00;Chad Richmond;fruit
363;07:13:00;Valerie Pearson;fruit
364;07:13:00;Charles Carson;dairy
365;07:13:00;Amber Gibson;dairy
366;07:13:00;Ricardo Robinson;fruit
367;07:13:00;Jesse Porter;checkout and leave
368;07:13:00;Jimmy Ryan;fruit
369;07:13:00;James Garcia;checkout and leave
370;07:13:00;Katherine Turner;dairy
371;07:13:00;James Simpson;drinks
372;07:13:00;Mark Moran;checkout and leave
373;07:13:00;Sarah Rice;dairy
